"Date","Time","Remark","Party","Category","Mode","Cash In","Cash Out","Balance"
"01 Jan 2024","12:00 AM","Pocket Money","","Home","Cash","4164","","4164"
"01 Jan 2024","09:34 AM","Bus","","Travel","Cash","","30","4134"
"01 Jan 2024","02:00 PM","Biscuit","","Food","Cash","","35","4099"
"01 Jan 2024","08:43 PM","Rickshaw","","Travel","Cash","","40","4059"
"02 Jan 2024","05:15 PM","MacDonald","","Food","Cash","","85","3974"
"05 Jan 2024","06:32 PM","Stationery","","College","Cash","","4","3970"
"08 Jan 2024","06:35 PM","Rickshaw","","Travel","Cash","","25","3925"
"08 Jan 2024","06:35 PM","Toothpaste","","Basic","Cash","","20","3950"
"09 Jan 2024","01:28 PM","Stationery","","College","Cash","","10","3875"
"09 Jan 2024","01:28 PM","Rickshaw","","Travel","Cash","","20","3885"
"09 Jan 2024","01:28 PM","Chocolate","","Food","Cash","","20","3905"
"10 Jan 2024","12:58 PM","Rickshaw","","Travel","Cash","","20","1961.7"
"10 Jan 2024","12:58 PM","Levroxa 500mg","","Health","Cash","","1893.3","1981.7"
"10 Jan 2024","01:00 PM","Samosa","","Food","Cash","","30","1891.7"
"10 Jan 2024","01:00 PM","Vadapav","","Food","Cash","","40","1921.7"
"11 Jan 2024","01:12 PM","Rickshaw","","Travel","Cash","","20","1871.7"
"12 Jan 2024","08:04 PM","Stationery","","College","Cash","","4","1847.7"
"12 Jan 2024","08:04 PM","Rickshaw","","Travel","Cash","","20","1851.7"
"12 Jan 2024","10:56 PM","Wafers","","Food","Cash","","40","1797.7"
"12 Jan 2024","10:56 PM","Biscuit","","Food","Cash","","10","1837.7"
"15 Jan 2024","06:34 PM","Pocket Money","","Home","Cash","1025","","2822.7"
"16 Jan 2024","11:57 PM","Rickshaw","","Travel","Cash","","20","2802.7"
"17 Jan 2024","05:10 PM","MacDonald","","Food","Cash","","129","2583.7"
"17 Jan 2024","05:10 PM","Rickshaw","","Travel","Cash","","10","2712.7"
"17 Jan 2024","05:10 PM","Puff","","Food","Cash","","80","2722.7"
"18 Jan 2024","03:58 PM","Rickshaw","","Travel","Cash","","20","2563.7"
"19 Jan 2024","05:52 PM","Rickshaw","","Travel","Cash","","20","2543.7"
"20 Jan 2024","01:40 AM","Wafers","","Food","Cash","","30","2503.7"
"20 Jan 2024","01:40 AM","Biscuit","","Food","Cash","","10","2533.7"
"21 Jan 2024","10:46 PM","Wafers","","Food","Cash","","30","2453.7"
"21 Jan 2024","10:46 PM","Biscuit","","Food","Cash","","10","2483.7"
"21 Jan 2024","10:46 PM","Chocolate","","Food","Cash","","10","2493.7"
"23 Jan 2024","03:12 PM","Rickshaw","","Travel","Cash","","20","2433.7"
"24 Jan 2024","07:19 PM","Puff","","Food","Cash","","40","2353.7"
"24 Jan 2024","07:19 PM","Rickshaw","","Travel","Cash","","10","2393.7"
"24 Jan 2024","07:19 PM","Samosa","","Food","Cash","","30","2403.7"
"24 Jan 2024","07:20 PM","MacDonald","","Food","Cash","","149","2204.7"
"25 Jan 2024","07:34 PM","Rickshaw","","Travel","Cash","","20","2184.7"
"27 Jan 2024","08:13 PM","Manchurian","","Food","Cash","","100","2084.7"
"28 Jan 2024","10:36 PM","Biscuit","","Food","Cash","","20","2064.7"
"29 Jan 2024","04:46 PM","Rickshaw","","Travel","Cash","","10","2054.7"
"30 Jan 2024","04:41 PM","Wafers","","Food","Cash","","30","2024.7"
"30 Jan 2024","10:46 PM","Wafers","","Food","Cash","","30","1984.7"
"30 Jan 2024","10:46 PM","Biscuit","","Food","Cash","","10","2014.7"
"31 Jan 2024","07:54 PM","Samosa","","Food","Cash","","30","1929.7"
"31 Jan 2024","07:54 PM","Vadapav","","Food","Cash","","25","1959.7"
"31 Jan 2024","08:34 PM","Stationery","","College","Cash","","50","1879.7"
"03 Feb 2024","05:55 PM","Kachori","","Food","Cash","","40","1779.7"
"03 Feb 2024","05:55 PM","Samosa","","Food","Cash","","40","1819.7"
"03 Feb 2024","05:55 PM","Cold Drink","","Food","Cash","","20","1859.7"
"03 Feb 2024","05:56 PM","Alovera Gel","","Basic","Cash","","49","1730.7"
"03 Feb 2024","05:57 PM","Toothpaste","","Basic","Cash","","28","1692.7"
"03 Feb 2024","05:57 PM","Maggi","","Food","Cash","","10","1720.7"
"03 Feb 2024","05:58 PM","Clothes Washing Soap","","Clothes","Cash","","10","1682.7"
"03 Feb 2024","06:00 PM","Chocolate","","Food","Cash","","30","1652.7"
"03 Feb 2024","08:33 PM","Stationery","","College","Cash","","3","1649.7"
"04 Feb 2024","11:11 PM","Wafers","","Food","Cash","","30","1619.7"
"05 Feb 2024","03:15 PM","Room Cleaning","","Hostel","Cash","","25","1594.7"
"06 Feb 2024","10:58 PM","Wafers","","Food","Cash","","20","1564.7"
"06 Feb 2024","10:58 PM","Clothes Washing Soap","","Clothes","Cash","","10","1584.7"
"07 Feb 2024","08:09 PM","MacDonald","","Food","Cash","","10","1554.7"
